,Unnamed: 0,streetname,startstreet,endstreet,segment_score,road_ids,address_nos,yelp_ids,yelp_address_nos,accident_count,business_count
109,109,Central Ave,2500,3000,56,"['b230f56c17d02727083bc221e8e88732c1bb090b', '36f6d7389fb0ee849b05b4230a01e39c65634db3']","[2927.0, 2605.0]","['nMo0ozHO7cqsPaxw_7N6ow', 'yesClkCZlpLGTYZROkx4SA', 'sH3UsolKjik01u0HlQ9_0Q', '1j-DEipQoZHlj2UYSaoGWQ']","[2920.0, 2501.0, 2917.0, 2903.0]",2,4
110,110,Central Ave,3000,3500,19,['f0c7880acf44dfbaa5ca47bfc929f8af44191fee'],[3400.0],['Cbr_THdFrhePgJoqQ9X6gQ'],[3000.0],1,1
111,111,Central Ave,3500,4000,36,"['5a2768580087c18d72a608d234b350626c44aeea', '487c31b78da1e9fc9d8495d2d5cda9e9a6af31bc']","[3501.0, 3718.0]",[],[],2,0
112,112,Central Ave,4000,4500,75,"['732c9153d888c852f4bf34ac190c53d796b3bf4f', '429546e45065d35ebfaf4a7fc79499cc006e0c28', '3278238be554a17220d98063a089e0a84e104551']","[4400.0, 4400.0, 4391.0]",['vxadNrpTY7OHNmWsrEpNnA'],[4429.0],3,1
113,113,Central Ave,4500,5000,46,"['1d8ff25e2b2f48c24a8be65f9a1fb09efd45fe6e', '7a744ac1c2f19251cacbdbb9e8afabd5e3cb1104']","[4803.0, 4601.0]",[],[],2,0
114,114,Central Ave,5000,5500,94,"['a07a2a008ee58088b8640307259a54cbf32ba76e', 'bc9745f9784f8815d339883a523f7b76ba74a4b1', '59ae6ba5a2bdb07c4fab102df0f8ea2038c0212c', 'c7bd46e99ca8ce4a416de5cbf6cd3ff5713786a8']","[5023.0, 5137.0, 5023.0, 5137.0]",[],[],4,0
115,115,Central Ave,5500,6000,0,[],[],[],[],0,0
116,116,Central Dr,9000,9500,17,['eeaf37b7a6adcea5f2159abb47357d3042501d50'],[9329.0],[],[],1,0
117,117,Central Dr,9500,10000,0,[],[],[],[],0,0
118,118,Charlottetowne Ave,100,600,0,[],[],[],[],0,0
