,streetname,startstreet,endstreet
666,Providence Rd,100,600
667,Providence Rd,600,1100
668,Providence Rd,1100,1600
669,Providence Rd,1600,2100
670,Providence Rd,2100,2600
671,Providence Rd,2600,3100
672,Providence Rd,3100,3600
673,Providence Rd,3600,4100
674,Providence Rd,4100,4600
675,Providence Rd,4600,5100
676,Providence Rd,5100,5600
677,Providence Rd,5600,6100
678,Providence Rd,6100,6600
679,Providence Rd,6600,7100
680,Providence Rd,7100,7600
681,Providence Rd,7600,8100
682,Providence Rd,8100,8600
683,Providence Rd,8600,9100
684,Providence Rd,9100,9600
685,Providence Rd,9600,10100
686,Providence Rd,10100,10600
687,Providence Rd,10600,11100
688,Providence Rd,11100,11600
689,Providence Rd,11600,12100
690,Providence Rd,12100,12600
691,Providence Rd,12600,13100
692,Quail Hollow Rd,5000,5500
693,Quail Hollow Rd,5500,6000
694,Quail Hollow Rd,6000,6500
695,Quail Hollow Rd,6500,7000
696,Queen Anne Rd,5000,5500
697,Queen Anne Rd,5500,6000
698,Queen City Dr,3000,3500
699,Queen City Dr,3500,4000
700,Queens Rd,1000,1500
701,Queens Rd,1500,2000
702,Queens Rd W,1000,1500
703,Queens Rd W,1500,2000
704,Queens Rd W,2000,2500
705,Queens Rd W,2500,3000
706,Raeburn Ln,6000,6500
707,Raeburn Ln,6500,7000
708,Ramona St,100,600
709,Ramona St,600,1100
710,Randolph Rd,2000,2500
711,Randolph Rd,2500,3000
712,Randolph Rd,3000,3500
713,Randolph Rd,3500,4000
714,Randolph Rd,4000,4500
715,Randolph Rd,4500,5000
716,Rea Croft Dr,6000,6500
717,Rea Croft Dr,6500,7000
718,Rea Rd,3000,3500
719,Rea Rd,3500,4000
720,Rea Rd,4000,4500
721,Rea Rd,4500,5000
722,Rea Rd,5000,5500
723,Rea Rd,5500,6000
724,Rea Rd,6000,6500
725,Rea Rd,6500,7000
726,Rea Rd,7000,7500
727,Rea Rd,7500,8000
728,Rea Rd,8000,8500
729,Rea Rd,8500,9000
730,Rea Rd,9000,9500
731,Rea Rd,9500,10000
732,Reames Rd,8000,8500
733,Reames Rd,8500,9000
734,Reece Rd,1000,1500
735,Reece Rd,1500,2000
736,Regal Oaks Dr,6000,6500
737,Regal Oaks Dr,6500,7000
738,Remount Rd,100,600
739,Remount Rd,600,1100
740,Remount Rd,1100,1600
741,Remount Rd,1600,2100
742,Ridge Oak Dr,11000,11500
743,Ridge Oak Dr,11500,12000
744,Robert Frost Ln,9000,9500
745,Robert Frost Ln,9500,10000
746,Robinson Church Rd,6000,6500
747,Robinson Church Rd,6500,7000
748,Rodey Ave,100,600
749,Rodey Ave,600,1100
750,Rosetta St,1000,1500
751,Rosetta St,1500,2000
752,Rozzelles Ferry Rd,1000,1500
753,Rozzelles Ferry Rd,1500,2000
754,Rozzelles Ferry Rd,2000,2500
755,Rozzelles Ferry Rd,2500,3000
756,Rozzelles Ferry Rd,3000,3500
757,Rozzelles Ferry Rd,3500,4000
758,Rozzelles Ferry Rd,4000,4500
759,Rozzelles Ferry Rd,4500,5000
760,Rozzelles Ferry Rd,5000,5500
761,Rozzelles Ferry Rd,5500,6000
762,Runnymede Ln,2000,2500
763,Runnymede Ln,2500,3000
764,Rush Ave,2000,2500
765,Rush Ave,2500,3000
766,S Bv,1000,1500
767,S Bv,1500,2000
768,S Bv,2000,2500
769,S Bv,2500,3000
770,S Bv,3000,3500
771,S Bv,3500,4000
772,S Bv,4000,4500
773,S Bv,4500,5000
774,S Bv,5000,5500
775,S Bv,5500,6000
776,S Bv,6000,6500
777,S Bv,6500,7000
778,S Bv,7000,7500
779,S Bv,7500,8000
780,S Bv,8000,8500
781,S Bv,8500,9000
782,S Bv,9000,9500
783,S Bv,9500,10000
784,S Caldwell St,100,600
785,S Caldwell St,600,1100
786,S Caldwell St,1100,1600
787,S Caldwell St,1600,2100
788,S Church St,100,600
789,S Church St,600,1100
790,S College St,100,600
791,S College St,600,1100
792,S I - 85 Svc Rd,1000,1500
793,S I - 85 Svc Rd,1500,2000
794,S I - 85 Svc Rd,2000,2500
795,S I - 85 Svc Rd,2500,3000
796,S I - 85 Svc Rd,3000,3500
797,S I - 85 Svc Rd,3500,4000
798,S I- 77 Svc Rd,1000,1500
799,S I- 77 Svc Rd,1500,2000
800,S Kings Dr,1000,1500
801,S Kings Dr,1500,2000
802,S Lakes Dr,14000,14500
803,S Lakes Dr,14500,15000
804,S McDowell St,100,600
805,S McDowell St,600,1100
806,S Mint St,1000,1500
807,S Mint St,1500,2000
808,S Sharon Amity Rd,100,600
809,S Sharon Amity Rd,600,1100
810,S Tryon St,100,600
811,S Tryon St,600,1100
812,S Tryon St,1100,1600
813,S Tryon St,1600,2100
814,S Tryon St,2100,2600
815,S Tryon St,2600,3100
816,S Tryon St,3100,3600
817,S Tryon St,3600,4100
818,S Tryon St,4100,4600
819,S Tryon St,4600,5100
820,S Tryon St,5100,5600
821,S Tryon St,5600,6100
822,S Tryon St,6100,6600
823,S Tryon St,6600,7100
824,S Tryon St,7100,7600
825,S Tryon St,7600,8100
826,S Tryon St,8100,8600
827,S Tryon St,8600,9100
828,S Tryon St,9100,9600
829,S Tryon St,9600,10100
830,S Tryon St,10100,10600
831,S Tryon St,10600,11100
832,S Tryon St,11100,11600
833,S Tryon St,11600,12100
834,Sam Neely Rd,12000,12500
835,Sam Neely Rd,12500,13000
836,Sam Wilson Rd,2000,2500
837,Sam Wilson Rd,2500,3000
838,Sardis Rd,5000,5500
839,Sardis Rd,5500,6000
840,Sargeant Dr,3000,3500
841,Sargeant Dr,3500,4000
842,Sebastiani Dr,2000,2500
843,Sebastiani Dr,2500,3000
844,Selwyn Ave,1000,1500
845,Selwyn Ave,1500,2000
846,Selwyn Ave,2000,2500
847,Selwyn Ave,2500,3000
848,Shamrock Dr,3000,3500
849,Shamrock Dr,3500,4000
850,Sharon Rd,2000,2500
